DATE,DO,Water Temp C,Air temp C,Relative Humidity (%),Aerated (1/0),Atmospheric Pressure (mb)
7/16/24 9:20,0.0,24.58,20.0,100.0,1.0,1007.0
7/16/24 9:30,0.0,24.58,20.0,100.0,1.0,1007.0
7/16/24 9:40,0.03,24.66,20.0,100.0,1.0,1007.0
7/16/24 9:50,0.08,24.72,20.0,100.0,1.0,1007.3
7/16/24 10:00,0.36,24.86,20.0,100.0,1.0,1007.3
7/16/24 10:10,0.63,24.92,20.0,100.0,1.0,1007.3
7/16/24 10:20,0.96,24.98,20.0,100.0,1.0,1007.3
7/16/24 10:30,0.95,25.0,20.0,100.0,1.0,1007.3
7/16/24 10:40,0.84,25.02,20.0,100.0,1.0,1007.3
7/16/24 10:50,1.31,25.04,20.0,88.75,1.0,1007.2
7/16/24 11:00,1.46,25.06,20.0,88.75,1.0,1007.2
7/16/24 11:10,1.33,25.08,20.0,88.75,1.0,1007.2
7/16/24 11:20,1.39,25.14,20.0,88.75,1.0,1007.2
7/16/24 11:30,0.92,25.16,20.0,88.75,1.0,1007.2
7/16/24 11:40,1.59,25.18,20.0,88.75,1.0,1007.2
7/16/24 11:50,1.74,25.18,21.0,88.75,1.0,1007.7
7/16/24 12:00,1.47,25.18,21.0,78.76,1.0,1007.7
7/16/24 12:10,1.54,25.22,21.0,78.76,1.0,1007.7
7/16/24 12:20,1.63,25.26,21.0,78.76,1.0,1007.7
7/16/24 12:30,1.69,25.26,21.0,78.76,1.0,1007.7
7/16/24 12:40,1.85,25.32,21.0,78.76,1.0,1007.7
7/16/24 12:50,1.95,25.36,21.0,78.76,1.0,1008.1
7/16/24 13:00,1.85,25.4,22.0,74.28,1.0,1008.1
7/16/24 13:10,1.91,25.44,22.0,74.28,1.0,1008.1
7/16/24 13:20,1.9,25.46,22.0,74.28,1.0,1008.1
7/16/24 13:30,1.87,25.46,22.0,74.28,1.0,1008.1
7/16/24 13:40,1.68,25.5,22.0,74.28,1.0,1008.1
7/16/24 13:50,1.6,25.52,23.0,74.28,1.0,1008.4
7/16/24 14:00,1.42,25.54,23.0,74.44,1.0,1008.4
7/16/24 14:10,1.29,25.58,23.0,74.44,1.0,1008.4
7/16/24 14:20,1.17,25.58,23.0,74.44,1.0,1008.4
7/16/24 14:30,1.35,25.58,23.0,74.44,1.0,1008.4
7/16/24 14:40,1.36,25.58,23.0,74.44,1.0,1008.4
7/16/24 14:50,1.5,25.6,24.0,78.9,1.0,1008.4
7/16/24 15:00,1.31,25.58,24.0,78.9,1.0,1008.4
7/16/24 15:10,1.26,25.6,24.0,78.9,1.0,1008.4
7/16/24 15:20,1.34,25.6,24.0,78.9,1.0,1008.4
8/13/24 9:10,0.11,22.16,17.0,78.04,1.0,1019.7
8/13/24 9:20,0.62,22.14,17.0,78.04,1.0,1019.7
8/13/24 9:30,0.52,22.12,17.0,78.04,1.0,1019.7
8/13/24 9:40,0.37,22.12,17.0,78.04,1.0,1019.7
8/13/24 9:50,0.0,22.12,17.0,78.04,1.0,1019.4
8/13/24 10:00,0.15,22.14,16.0,64.91,1.0,1019.4
8/13/24 10:10,0.01,22.12,16.0,64.91,1.0,1019.4
8/13/24 10:20,0.37,22.12,16.0,64.91,1.0,1019.4
8/13/24 10:30,0.17,22.12,16.0,64.91,1.0,1019.4
8/13/24 10:40,0.49,22.12,16.0,64.91,1.0,1019.4
8/13/24 10:50,0.9,22.1,16.0,64.91,1.0,1019.5
8/13/24 11:00,0.94,22.1,16.0,54.05,1.0,1019.5
8/13/24 11:10,1.03,22.1,16.0,54.05,1.0,1019.5
8/13/24 11:20,0.3,22.1,16.0,54.05,1.0,1019.5
8/13/24 11:30,0.14,22.12,16.0,54.05,1.0,1019.5
8/13/24 11:40,0.19,22.12,16.0,54.05,1.0,1019.5
8/13/24 11:50,0.31,22.12,16.0,50.69,1.0,1019.8
8/13/24 12:00,0.12,22.14,16.0,50.69,1.0,1019.8
8/13/24 12:10,0.03,22.16,16.0,50.69,1.0,1019.8
8/13/24 12:20,0.1,22.18,16.0,50.69,1.0,1019.8
8/13/24 12:30,0.12,22.2,16.0,50.69,1.0,1019.8
8/13/24 12:40,0.29,22.22,16.0,50.69,1.0,1019.8
8/13/24 12:50,0.67,22.24,16.0,47.79,1.0,1019.5
8/13/24 13:00,0.86,22.28,19.0,47.79,1.0,1019.5
8/13/24 13:10,0.96,22.3,19.0,47.79,1.0,1019.5
8/13/24 13:20,1.39,22.34,19.0,47.79,1.0,1019.5
8/13/24 13:30,1.83,22.38,19.0,47.79,1.0,1019.5
8/13/24 13:40,2.19,22.4,19.0,47.79,1.0,1019.5
8/13/24 13:50,2.2,22.44,19.0,45.07,1.0,1020.0
8/13/24 14:00,2.77,22.48,22.0,45.07,1.0,1020.0
8/13/24 14:10,2.97,22.5,22.0,45.07,1.0,1020.0
8/13/24 14:20,2.9,22.54,22.0,45.07,1.0,1020.0
8/13/24 14:30,2.78,22.58,22.0,45.07,1.0,1020.0
8/13/24 14:40,3.34,22.58,22.0,45.07,1.0,1020.0
10/2/25 15:00,0.41,20.96,19.0,59.76,1.0,1024.5
10/2/25 15:30,0.68,21.02,19.0,59.76,1.0,1024.5
10/2/25 16:00,1.35,21.34,22.0,53.07,1.0,1024.1
10/2/25 16:30,2.99,21.84,22.0,53.07,1.0,1024.1
10/2/25 17:00,3.29,22.08,24.0,50.22,1.0,1023.6
10/2/25 17:30,2.88,22.26,24.0,50.22,1.0,1023.6
10/2/25 18:00,3.07,22.5,26.0,47.58,1.0,1023.2
10/2/25 18:30,3.21,22.66,26.0,47.58,1.0,1023.2
10/2/25 19:00,3.4,22.8,28.0,42.32,1.0,1022.3
10/2/25 19:30,3.32,22.84,28.0,42.32,1.0,1022.3
10/2/25 20:00,3.09,22.92,28.0,42.32,1.0,1021.8
10/2/25 20:30,2.97,22.94,28.0,42.32,1.0,1021.8
10/2/25 21:00,3.34,22.94,28.0,42.32,1.0,1021.8
10/2/25 21:30,1.84,22.86,28.0,42.32,1.0,1021.8
10/2/25 22:00,2.39,22.88,29.0,35.04,1.0,1021.8
10/9/25 13:30,1.91,16.48,7.0,87.08,1.0,1032.6
10/9/25 14:00,2.23,16.54,11.0,66.48,1.0,1032.8
10/14/25 15:00,4.36,17.0,17.0,88.01,1.0,1026.9
10/14/25 15:30,4.41,17.26,17.0,88.01,1.0,1026.9
10/14/25 16:00,4.6,17.4,18.0,88.1,1.0,1026.9
10/14/25 16:30,5.12,17.48,18.0,88.1,1.0,1026.9
10/14/25 17:00,5.05,17.62,19.0,88.19,1.0,1026.9
10/14/25 17:30,5.65,17.84,19.0,88.19,1.0,1026.9
10/14/25 18:00,5.45,17.84,19.0,88.19,1.0,1026.1
10/14/25 18:30,5.33,17.86,19.0,88.19,1.0,1026.1
10/14/25 19:00,5.08,17.92,21.0,73.13,1.0,1025.9
10/14/25 19:30,5.68,17.98,21.0,73.13,1.0,1025.9
10/14/25 20:00,5.38,18.02,21.0,73.13,1.0,1025.9
10/14/25 20:30,5.1,18.0,21.0,73.13,1.0,1025.9
10/14/25 21:00,5.26,17.92,21.0,60.24,1.0,1026.0
10/14/25 21:30,4.94,17.94,21.0,60.24,1.0,1026.0
10/14/25 22:00,5.19,17.96,20.0,60.0,1.0,1026.1
10/14/25 22:30,4.86,17.92,20.0,60.0,1.0,1026.1
10/14/25 23:00,5.28,17.92,18.0,72.58,1.0,1026.2
10/14/25 23:30,5.23,17.9,18.0,72.58,1.0,1026.2
10/15/25 0:00,5.15,17.84,16.0,77.15,1.0,1026.1
10/15/25 0:30,5.25,17.76,16.0,77.15,1.0,1026.1
10/15/25 1:00,5.32,17.7,15.0,82.26,1.0,1026.3
10/15/25 1:30,4.94,17.66,15.0,82.26,1.0,1026.3
10/15/25 2:00,4.72,17.62,16.0,77.15,1.0,1026.1
10/15/25 2:30,4.93,17.58,16.0,77.15,1.0,1026.1
10/15/25 3:00,4.91,17.52,15.0,76.99,1.0,1025.7
10/15/25 3:30,4.83,17.5,15.0,76.99,1.0,1025.7
10/15/25 4:00,4.84,17.46,16.0,72.21,1.0,1025.6
10/15/25 4:30,4.86,17.42,16.0,72.21,1.0,1025.6
10/15/25 5:00,4.75,17.36,16.0,77.15,1.0,1025.2
10/15/25 5:30,4.49,17.36,16.0,77.15,1.0,1025.2
10/16/25 13:30,3.15,16.38,14.0,76.83,1.0,1023.5
10/16/25 14:00,2.9,16.46,15.0,76.99,1.0,1023.5
10/16/25 14:30,3.34,16.52,15.0,76.99,1.0,1023.5
10/16/25 15:00,3.64,16.56,16.0,67.55,1.0,1023.2
10/16/25 15:30,4.76,16.98,16.0,67.55,1.0,1023.2
10/16/25 16:00,4.78,17.16,18.0,59.52,1.0,1022.6
10/16/25 16:30,5.09,17.3,18.0,59.52,1.0,1022.6
10/16/25 17:00,4.99,17.46,18.0,59.52,1.0,1022.4
10/16/25 17:30,4.93,17.64,18.0,59.52,1.0,1022.4
10/16/25 18:00,4.74,17.76,20.0,56.16,1.0,1021.4
10/16/25 18:30,5.0,17.86,20.0,56.16,1.0,1021.4
10/16/25 19:00,4.71,17.96,21.0,52.81,1.0,1020.3
10/16/25 19:30,4.84,17.96,21.0,52.81,1.0,1020.3
10/16/25 20:00,4.77,18.0,21.0,52.81,1.0,1019.7
10/16/25 20:30,5.11,18.02,21.0,52.81,1.0,1019.7
10/16/25 21:00,4.97,18.04,21.0,52.81,1.0,1018.9
10/16/25 21:30,5.46,18.04,21.0,52.81,1.0,1018.9
10/16/25 22:00,5.36,18.0,21.0,52.81,1.0,1018.5
10/16/25 22:30,5.22,17.96,21.0,52.81,1.0,1018.5
10/16/25 23:00,5.5,17.92,20.0,56.16,1.0,1018.5
10/16/25 23:30,5.22,17.88,20.0,56.16,1.0,1018.5
10/17/25 0:00,5.18,17.84,18.0,59.52,1.0,1018.1
10/17/25 0:30,4.53,17.74,18.0,59.52,1.0,1018.1
10/17/25 1:00,4.71,17.7,16.0,67.55,1.0,1018.4
10/17/25 1:30,4.49,17.66,16.0,67.55,1.0,1018.4
10/17/25 2:00,4.53,17.6,15.0,72.02,1.0,1018.0
10/17/25 2:30,4.48,17.54,15.0,72.02,1.0,1018.0
10/17/25 3:00,4.5,17.5,15.0,58.78,1.0,1017.7
10/17/25 3:30,4.57,17.42,15.0,58.78,1.0,1017.7
10/17/25 4:00,4.65,17.36,15.0,54.86,1.0,1016.9
10/17/25 4:30,4.81,17.3,15.0,54.86,1.0,1016.9
10/17/25 5:00,4.72,17.22,15.0,51.18,1.0,1016.6
10/17/25 5:30,4.78,17.14,15.0,51.18,1.0,1016.6
10/17/25 6:00,4.68,17.04,14.0,54.6,1.0,1016.3
10/17/25 6:30,4.61,16.98,14.0,54.6,1.0,1016.3
10/17/25 7:00,4.4,16.92,14.0,58.52,1.0,1016.0
10/17/25 7:30,4.22,16.86,14.0,58.52,1.0,1016.0
10/17/25 8:00,4.21,16.78,13.0,62.46,1.0,1015.8
10/17/25 8:30,4.22,16.76,13.0,62.46,1.0,1015.8
10/17/25 9:00,4.1,16.74,13.0,66.91,1.0,1015.6
10/17/25 9:30,4.3,16.72,13.0,66.91,1.0,1015.6
10/17/25 10:00,4.26,16.76,13.0,66.91,1.0,1015.5
10/17/25 10:30,4.2,16.8,13.0,66.91,1.0,1015.5
10/17/25 11:00,4.39,16.82,13.0,71.65,1.0,1015.6
10/17/25 11:30,4.75,17.02,13.0,71.65,1.0,1015.6
10/17/25 12:00,4.65,17.12,13.0,76.67,1.0,1015.7
10/17/25 12:30,4.38,17.08,13.0,76.67,1.0,1015.7
10/17/25 13:00,4.66,17.34,13.0,76.67,1.0,1015.7
10/17/25 13:30,4.63,17.22,13.0,76.67,1.0,1015.7
10/17/25 14:00,5.1,17.44,14.0,71.84,1.0,1015.6
10/17/25 14:30,5.14,17.58,14.0,71.84,1.0,1015.6
10/17/25 15:00,5.21,17.64,16.0,63.16,1.0,1014.8
10/17/25 15:30,5.68,17.74,16.0,63.16,1.0,1014.8
10/17/25 16:00,5.61,17.8,19.0,55.91,1.0,1013.9
10/17/25 16:30,5.85,17.9,19.0,55.91,1.0,1013.9
10/17/25 17:00,5.94,17.98,21.0,52.81,1.0,1012.6
10/17/25 17:30,5.65,18.04,21.0,52.81,1.0,1012.6
10/17/25 18:00,5.84,18.12,22.0,49.67,1.0,1011.6
10/17/25 18:30,5.93,18.18,22.0,49.67,1.0,1011.6
10/17/25 19:00,6.09,18.22,23.0,46.75,1.0,1010.2
10/17/25 19:30,5.96,18.24,23.0,46.75,1.0,1010.2
10/17/25 20:00,6.15,18.28,23.0,49.95,1.0,1009.5
10/17/25 20:30,6.16,18.26,23.0,49.95,1.0,1009.5
10/17/25 21:00,6.41,18.22,23.0,49.95,1.0,1008.5
10/17/25 21:30,6.38,18.2,23.0,49.95,1.0,1008.5
10/17/25 22:00,6.25,18.16,24.0,47.03,1.0,1007.8
10/17/25 22:30,6.12,18.08,24.0,47.03,1.0,1007.8
10/17/25 23:00,5.74,18.04,23.0,49.95,1.0,1007.8
10/17/25 23:30,5.87,18.0,23.0,49.95,1.0,1007.8
10/18/25 0:00,5.95,17.96,21.0,56.42,1.0,1007.7
10/18/25 0:30,5.73,17.92,21.0,56.42,1.0,1007.7
10/18/25 1:00,5.4,17.86,20.0,56.16,1.0,1007.3
10/18/25 1:30,5.55,17.84,20.0,56.16,1.0,1007.3
10/18/25 2:00,5.64,17.8,19.0,59.76,1.0,1007.4
10/18/25 2:30,5.38,17.76,19.0,59.76,1.0,1007.4
10/18/25 3:00,5.37,17.72,18.0,63.62,1.0,1007.2
10/18/25 3:30,5.4,17.68,18.0,63.62,1.0,1007.2
10/18/25 4:00,5.17,17.66,18.0,63.62,1.0,1006.7
10/18/25 4:30,5.34,17.62,18.0,63.62,1.0,1006.7
10/18/25 5:00,5.34,17.62,19.0,63.85,1.0,1006.4
10/18/25 5:30,4.98,17.58,19.0,63.85,1.0,1006.4
10/18/25 6:00,5.14,17.58,19.0,68.18,1.0,1006.1
10/18/25 6:30,4.83,17.56,19.0,68.18,1.0,1006.1
10/18/25 7:00,4.6,17.54,18.0,72.58,1.0,1005.6
10/18/25 7:30,4.45,17.52,18.0,72.58,1.0,1005.6
10/18/25 8:00,4.52,17.52,19.0,72.76,1.0,1004.8
10/18/25 8:30,4.56,17.52,19.0,72.76,1.0,1004.8
10/18/25 9:00,4.53,17.52,18.0,77.46,1.0,1004.3
10/18/25 9:30,4.12,17.52,18.0,77.46,1.0,1004.3
10/18/25 10:00,3.61,17.5,19.0,77.62,1.0,1004.4
10/18/25 10:30,4.28,17.58,19.0,77.62,1.0,1004.4
10/18/25 11:00,3.98,17.68,19.0,77.62,1.0,1005.7
10/18/25 11:30,4.07,17.72,19.0,77.62,1.0,1005.7
10/18/25 12:00,4.18,17.8,19.0,88.19,1.0,1004.6
10/18/25 12:30,4.49,17.86,19.0,88.19,1.0,1004.6
10/18/25 13:00,4.49,17.88,18.0,82.63,1.0,1004.7
10/18/25 13:30,4.74,17.94,18.0,82.63,1.0,1004.7
10/18/25 14:00,4.64,18.04,19.0,88.19,1.0,1005.6
10/18/25 14:30,5.14,18.1,19.0,88.19,1.0,1005.6
10/18/25 15:00,5.27,18.18,21.0,73.13,1.0,1004.9
10/18/25 15:30,5.35,18.24,21.0,73.13,1.0,1004.9
10/18/25 16:00,5.01,18.3,22.0,68.79,1.0,1005.1
10/18/25 16:30,5.11,18.34,22.0,68.79,1.0,1005.1
10/18/25 17:00,5.31,18.42,24.0,60.96,1.0,1005.0
10/18/25 17:30,5.36,18.44,24.0,60.96,1.0,1005.0
10/18/25 18:00,5.18,18.52,24.0,60.96,1.0,1004.6
10/18/25 18:30,5.15,18.52,24.0,60.96,1.0,1004.6
10/18/25 19:00,5.23,18.6,24.0,64.96,1.0,1003.6
10/18/25 19:30,5.07,18.64,24.0,64.96,1.0,1003.6
10/18/25 20:00,5.55,18.64,23.0,68.99,1.0,1003.4
10/18/25 20:30,5.83,18.68,23.0,68.99,1.0,1003.4
10/18/25 21:00,5.18,18.68,23.0,68.99,1.0,1003.0
10/18/25 21:30,5.58,18.68,23.0,68.99,1.0,1003.0
10/18/25 22:00,5.26,18.68,23.0,73.48,1.0,1002.9
10/18/25 22:30,4.92,18.7,23.0,73.48,1.0,1002.9
10/18/25 23:00,5.33,18.7,22.0,78.08,1.0,1003.0
10/18/25 23:30,4.86,18.66,22.0,78.08,1.0,1003.0
10/19/25 0:00,5.1,18.58,21.0,83.0,1.0,1002.4
10/19/25 0:30,5.09,18.48,21.0,83.0,1.0,1002.4
10/19/25 1:00,4.79,18.36,20.0,88.28,1.0,1002.5
10/19/25 1:30,4.59,18.34,20.0,88.28,1.0,1002.5
10/19/25 2:00,4.52,18.3,19.0,82.76,1.0,1002.2
10/19/25 2:30,4.62,18.36,19.0,82.76,1.0,1002.2
10/19/25 3:00,4.83,18.24,17.0,93.84,1.0,1002.2
10/19/25 3:30,4.67,18.18,17.0,93.84,1.0,1002.2
10/19/25 4:00,4.45,18.12,16.0,93.79,1.0,1001.8
10/19/25 4:30,4.53,18.06,16.0,93.79,1.0,1001.8
10/19/25 5:00,4.55,17.98,16.0,87.93,1.0,1000.7
10/19/25 5:30,4.2,17.96,16.0,87.93,1.0,1000.7
10/19/25 6:00,4.57,17.84,14.0,100.0,1.0,1000.3
10/19/25 6:30,4.51,17.74,14.0,100.0,1.0,1000.3
10/19/25 7:00,4.41,17.58,14.0,93.7,1.0,999.6
10/19/25 7:30,4.33,17.4,14.0,93.7,1.0,999.6
10/19/25 8:00,4.26,17.08,14.0,93.7,1.0,999.1
10/19/25 8:30,4.06,17.08,14.0,93.7,1.0,999.1
10/19/25 9:00,4.17,16.98,14.0,93.7,1.0,998.3
10/19/25 9:30,4.97,16.72,14.0,93.7,1.0,998.3
10/19/25 10:00,4.94,16.62,14.0,93.7,1.0,998.5
10/19/25 10:30,5.07,16.6,14.0,93.7,1.0,998.5
10/19/25 11:00,4.99,16.58,11.0,100.0,1.0,998.5
10/19/25 11:30,4.86,16.58,11.0,100.0,1.0,998.5
10/19/25 12:00,5.39,16.68,10.0,93.5,1.0,1000.3
10/19/25 12:30,5.31,16.7,10.0,93.5,1.0,1000.3
10/19/25 13:00,5.62,16.7,9.0,100.0,1.0,1001.8
10/19/25 13:30,5.75,16.7,9.0,100.0,1.0,1001.8
10/19/25 14:00,6.1,16.72,9.0,93.45,1.0,1003.0
10/19/25 14:30,5.89,16.82,9.0,93.45,1.0,1003.0
10/19/25 15:00,6.36,16.92,9.0,93.45,1.0,1003.8
10/19/25 15:30,6.1,17.04,9.0,93.45,1.0,1003.8
10/19/25 16:00,6.15,17.02,10.0,87.37,1.0,1004.6
10/19/25 16:30,6.73,17.08,10.0,87.37,1.0,1004.6
10/19/25 17:00,6.92,17.14,11.0,76.34,1.0,1005.4
10/19/25 17:30,6.51,17.06,11.0,76.34,1.0,1005.4
10/19/25 18:00,6.82,16.94,11.0,76.34,1.0,1005.9
10/19/25 18:30,6.76,16.76,11.0,76.34,1.0,1005.9
10/19/25 19:00,7.3,16.68,13.0,58.27,1.0,1006.3
10/19/25 19:30,6.81,16.5,13.0,58.27,1.0,1006.3
10/19/25 20:00,6.48,16.4,14.0,50.91,1.0,1006.7
10/19/25 20:30,6.4,16.26,14.0,50.91,1.0,1006.7
10/19/25 21:00,6.1,16.16,14.0,50.91,1.0,1007.4
10/19/25 21:30,6.16,15.86,14.0,50.91,1.0,1007.4
10/19/25 22:00,6.15,15.78,15.0,44.47,1.0,1008.1
10/19/25 22:30,5.92,15.66,15.0,44.47,1.0,1008.1
10/19/25 23:00,5.9,15.54,14.0,44.18,1.0,1009.0
10/19/25 23:30,5.82,15.4,14.0,44.18,1.0,1009.0
10/20/25 0:00,5.49,15.24,13.0,43.89,1.0,1009.9
10/20/25 0:30,5.64,15.28,13.0,43.89,1.0,1009.9
10/20/25 1:00,5.55,15.22,13.0,43.89,1.0,1010.8
10/20/25 1:30,5.14,15.16,13.0,43.89,1.0,1010.8
10/20/25 2:00,5.57,15.08,10.0,57.51,1.0,1011.7
10/20/25 2:30,5.43,14.98,10.0,57.51,1.0,1011.7
10/20/25 3:00,5.52,15.0,10.0,53.52,1.0,1012.5
10/20/25 3:30,5.59,14.88,10.0,53.52,1.0,1012.5
10/20/25 4:00,4.74,14.78,9.0,57.25,1.0,1013.3
10/20/25 4:30,5.36,14.78,9.0,57.25,1.0,1013.3
10/20/25 5:00,5.09,14.6,7.0,70.47,1.0,1013.7
10/20/25 5:30,4.51,14.46,7.0,70.47,1.0,1013.7
10/20/25 6:00,5.08,14.38,6.0,75.49,1.0,1014.0
10/20/25 6:30,4.81,14.26,6.0,75.49,1.0,1014.0
10/20/25 7:00,4.45,14.02,5.0,80.92,1.0,1014.0
10/20/25 7:30,4.65,13.88,5.0,80.92,1.0,1014.0
10/20/25 8:00,4.82,13.74,6.0,75.49,1.0,1014.4
10/20/25 8:30,4.17,13.66,6.0,75.49,1.0,1014.4
10/20/25 9:00,4.23,13.6,3.0,86.69,1.0,1014.6
10/20/25 9:30,4.12,13.6,3.0,86.69,1.0,1014.6
10/20/25 10:00,4.31,13.56,3.0,93.13,1.0,1015.0
10/20/25 10:30,4.8,13.66,3.0,93.13,1.0,1015.0
10/20/25 11:00,4.86,13.68,3.0,100.0,1.0,1015.7
10/20/25 11:30,5.01,13.76,3.0,100.0,1.0,1015.7
10/20/25 12:00,5.21,13.92,3.0,100.0,1.0,1015.8
10/20/25 12:30,5.09,13.96,3.0,100.0,1.0,1015.8
10/20/25 13:00,4.93,13.88,4.0,100.0,1.0,1015.6
10/20/25 13:30,5.08,13.92,4.0,100.0,1.0,1015.6
10/20/25 14:00,5.16,13.98,7.0,93.35,1.0,1015.8
10/20/25 14:30,5.27,14.06,7.0,93.35,1.0,1015.8
10/20/25 15:00,5.43,14.1,11.0,71.26,1.0,1015.4
10/20/25 15:30,5.64,14.2,11.0,71.26,1.0,1015.4
10/20/25 16:00,5.89,14.12,14.0,54.6,1.0,1014.3
10/20/25 16:30,5.85,14.24,14.0,54.6,1.0,1014.3
10/20/25 17:00,6.08,14.36,16.0,38.85,1.0,1013.5
